id,customer_id,plate,brand,model,color,year,type,renavam,chassis,notes,status,created_at,updated_at
1,1,DFA2L42,Nissan,Kicks,Preto,2017,carro,13228469314,UUX298P256VEYB91A,,ativo,2025-08-22 21:46:58,2025-11-20 21:46:58
2,2,QOY7J42,Chevrolet,Tracker,Preto,2020,carro,34499094836,UDJD2CXJA51A1P491,,ativo,2025-01-21 21:46:58,2025-11-20 21:46:58
3,3,ZDW8D42,Nissan,Versa,Prata,2023,carro,41960306745,VZH50LN0U44N4P70K,,ativo,2025-01-22 21:46:58,2025-11-20 21:46:58
4,4,JUL4F94,Volkswagen,T-Cross,Azul,2024,carro,45082118745,X98FT6690CBWGUVLK,,ativo,2025-07-16 21:46:58,2025-11-20 21:46:58
5,5,FIL4H82,Ford,EcoSport,Amarelo,2023,carro,11864298846,17HUM3W7MN28BTBXF,,ativo,2024-12-28 21:46:58,2025-11-20 21:46:58
6,6,HBA2S59,Toyota,Hilux,Amarelo,2025,utilitario,96967346428,U94UBESE5PR6VT1FP,,ativo,2025-08-02 21:46:58,2025-11-20 21:46:58
7,7,ZMI6S47,Jeep,Compass,Branco,2019,carro,30908922255,3JFR6D2PVV7BB4T8S,,ativo,2024-11-29 21:46:58,2025-11-20 21:46:58
8,8,JVS4A95,Ford,Ka,Prata,2021,carro,34135367086,74E1DANMDYZK5T4D7,,ativo,2025-01-23 21:46:58,2025-11-20 21:46:58
9,9,SFE5U42,Honda,Civic,Branco,2025,carro,88200159277,18FKRWZ1T8ZJDPD0R,,ativo,2025-02-15 21:46:58,2025-11-20 21:46:58
10,10,FZA8S71,Toyota,Yaris,Branco,2025,carro,92105924204,KAJ78N8K9S6P5A2JZ,,ativo,2025-05-24 21:46:58,2025-11-20 21:46:58
11,11,NMS4R42,Honda,Civic,Prata,2024,carro,96079271098,B3GKRLUM1KBTKNXT8,,ativo,2024-12-02 21:46:58,2025-11-20 21:46:58
12,12,CSW2A13,Hyundai,Tucson,Preto,2024,carro,79772430329,XU820JUXSCS4BRE8S,,ativo,2025-07-01 21:46:58,2025-11-20 21:46:58
13,13,PAX5J48,Chevrolet,Onix,Azul,2023,carro,50412357182,C6YC6SMH2HEXSB1H8,,ativo,2025-05-08 21:46:58,2025-11-20 21:46:58
